dm_desc	frequency
Trypanothione reductase, N- and C-terminal domain	28
Monellin, B & A chains together	28
Mechanosensitive channel protein MscS (YggB), C-terminal domain	28
Non-heme 11 kDa protein of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)	28
Vacuolar protein sorting-associated protein 28, VPS28	28
Matrix protein M2 transmembrane peptide	28
Toluene-4-monooxygenase catalytic effector protein	28
Muscle fatty acid binding protein (m-fabp)	28
Mannan-binding lectin MVL	28
Elongation factor 2 (eEF-2), domain IV	28
Tetracyclin repressor (Tet-repressor, TetR)	28
Elongation factor 2 (eEF-2), N-terminal domain	28
Elongation factor 2 (eEF-2), N-terminal (G) domain	28
Hypothetical protein YvdD	28
Elongation factor 2 (eEF-2), C-terminal domain	28
Elongation factor 2 (eEF-2), domain II	28
Hydroxypropylphosphonic acid epoxidase Fom4, C-terminal domain	28
Aminoimidazole ribonucleotide synthetase (PurM) N-terminal domain	28
Wheat germ agglutinin (WGA)	28
ROP protein	28
Class beta GST	28
Pollen allergen Phl P 6	28
Arylamine N-acetyltransferase	28
Acyl-CoA hydrolase BH0798	28
RNase III, C-terminal domain	28
APOBEC3G (ARCD)	28
Bcr-Abl oncoprotein oligomerization domain	28
Carbon monoxide (CO) dehydrogenase flavoprotein, N-terminal domain	28
Carbon monoxide (CO) dehydrogenase flavoprotein, C-terminal domain	28
beta-Glucuronidase	28
Aminopeptidase YpdE	28
Quercetin 2,3-dioxygenase	28
Putative partitioning protein ParB/Spo0J	28
Acetyl-coenzyme A carboxylase, C-terminal domain	28
Acetyl-coenzyme A carboxylase, N-terminal domain	28
Polyamine oxidase	28
YopE chaperone SycE	28
Cathepsin D	28
Respiratory nitrate reductase 1 alpha chain	28
Replication factor C	28
Arachidonate 5-lipoxygenase-activating protein, FLAP	28
(Pro)cathepsin S	28
XTP3-transactivated gene A protein homolog RS21-C6	28
Phenol 2-hydroxylase component B (PheA2)	28
Sodium/potassium-transporting ATPase, beta subunit extracellular domain	28
Betaine-homocysteine S-methyltransferase	28
Nickel-iron hydrogenase, large subunit	27
GINS complex subunit 4, SLD5	27
Death receptor-5 (dr5) fragment, N- and C-terminal domain	27
Ribosomal protein S11	27
Glucocorticoid receptor	27
Small, beta subunit of electron transfer flavoprotein ETFP	27
Bungarotoxin	27
CRISPR-Cas type III-A interference complex protein Csm1	27
Phosphatase hPTP1e	27
Dual specificity mitogen-activated protein kinase kinase 1, Mek1	27
Staphylococcal nuclease	27
NADH-quinone oxidoreductase chain 1, Nqo1	27
Sigma2 adaptin (clathrin coat assembly protein AP17)	27
Extracellular dodecameric hemoglobin (erythrocruorin), subunit IV (globin A)	27
lambda exonuclease	27
Hemocyanin, N-terminal domain	26
Polynucleotide kinase, phosphatase domain	26
Polynucleotide kinase, kinase domain	26
Hypothetical protein EF1143	26
beta-Phosphoglucomutase	26
Inosine monophosphate dehydrogenase (IMPDH)	26
Ribosomal protein S13	26
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase, BioA	26
V1 ATP synthase B subunit, domain 1	26
F1F0 ATP synthase subunit C	26
Segment polarity protein dishevelled homolog Dvl-2	26
V1 ATP synthase B subunit, C-terminal domain	26
Bruton's tyrosine kinase	26
V1 ATP synthase B subunit, central domain	26
Glucose 6-phosphate dehydrogenase	26
Hypothetical protein CT0541	26
DNA-directed RNA polymerase alpha(2), beta, beta-prime and omega subunits	26
Sirt2 histone deacetylase	26
Chymotrypsin inhibitor CI-2	26
Xanthine oxidase, domain 5 (?)	26
The aaRS-like accessory subunit of mitochondrial polymerase gamma, N-terminal domain	26
N-terminal Zn binding domain of HIV integrase	26
Peroxisome proliferator activated receptor alpha, PPAR-alpha	26
Hyaluronidase catalytic domain	26
Streptokinase	26
Chaperone protein HtpG	26
Coagulation factor IXa, protease domain	26
Coagulation factor XI	26
Threonine synthase	26
Myo-inositol hexaphosphate phosphohydrolase (phytase) PhyA	26
Elongation factor Ts (EF-Ts), dimerisation domain, N-terminal domain	26
ADP-ribose pyrophosphatase homologue YffH	26
RNase T1	26
Carboxysome shell protein CcmK2	26
Type I 3-dehydroquinate dehydratase	26
Envelope protein VP28	26
Papain-like protease PLpro, catalytic domain	26
Histidine kinase CheA	26
Uncharacterized protein Reut_A2532	26
Serine/threonine-protein kinase plk C-terminal domain	26
Plant beta-glucosidase (myrosinase)	26
RNA polymerase I subunit A190	26
Adhesin Hia	26
Sulfurtransferase DsrE	26
Xanthine oxidase, C-terminal domain	26
Arthropod hemocyanin	26
Intracellular sulfur oxidation protein DsrF	26
Superoxide reductase (SOR)	26
Cystathionine beta-synthase	26
Suppressor of cytokine signaling 2, SOCS-2	26
Salicylic acid-binding protein 2 (SABP2)	26
Protease PepD	26
Isopentenyl diphosphate isomerase	26
Putative oxidoreductase Rv2002	26
Bacterioferritin comigratory protein	26
Cytochrome f, large domain	26
Syntenin 1	26
Fibrinogen	26
Kix domain of CBP (creb binding protein)	26
Cytochrome f, small domain	26
S-adenosylmethionine decarboxylase	26
Pyrimidine operon regulator PyrR	26
Arthropod hemocyanin, C-terminal domain	26
T-cell transcription factor NFAT1 (NFATC2)	26
Glucose 6-phosphate dehydrogenase, N-terminal domain	26
T-cell transcription factor NFAT1 (NFATC), DNA-binding domain	26
Amyloid beta a4 protein copper binding domain (domain 2)	26
Rubredoxin	26
Gramicidin	25
Platelet-activating factor acetylhydrolase	25
NH3-dependent NAD+-synthetase	25
PII-homolog GlnK	25
V1 ATP synthase A subunit, C-terminal domain	25
Replication protein A 32 KDa subunit (RPA32) fragment	25
Ebola nucleoprotein	25
Bacterial aa3 type cytochrome c oxidase subunit I	25
Extracellular domain of CD40 ligand	25
V1 ATP synthase A subunit, central domain	25
A proliferation-inducing ligand, APRIL	25
Tyrosinase	25
Death receptor-5 (dr5) fragment, middle domain	25
Vitamin D nuclear receptor	25
V1 ATP synthase A subunit, bulge domain	25
PetG subunit of the cytochrome b6f complex	25
V1 ATP synthase A subunit, domain 1	25
Putative deaminase NE0047	24
IgE high affinity receptor alpha subunit	24
Phosphoheptose isomerase GmhA1	24
Phosphoenolpyruvate (PEP) carboxykinase (ATP-oxaloacetate carboxy-lyase)	24
Cation-dependent mannose 6-phosphate receptor, extracytoplasmic domain	24
Galactose-1-phosphate uridylyltransferase	24
Shikimate kinase (AroK)	24
Putative enzyme YdiF C-terminal domain	24
Putative enzyme YdiF N-terminal domain	24
Endonuclease I (Holliday junction resolvase)	24
Galactoside acetyltransferase	24
Putative cytoplasmic protein STM3548	24
Gelatinase B (MMP-9)	24
Peroxiredoxin-3 (AOP-1, SP-22)	24
Red fluorescent protein (fp583 or dsred(clontech))	24
Hypothetical protein YbgC	24
Xanthine oxidase, N-terminal domain	24
Hypothetical protein YchN	24
Xanthine oxidase, domain 2	24
Red copper protein nitrosocyanin	24
Hypothetical protein AT5G06450	24
L-arabinose isomerase AraA	24
Glucocorticoid receptor DNA-binding domain	24
L-fucose isomerase, C-terminal domain	24
5-enol-pyruvyl shikimate-3-phosphate (EPSP) synthase	24
Unnamed design-1	24
L-fucose isomerase, N-terminal and second domains	24
L-2-hydroxyisocapronate dehydrogenase, L-HICDH	24
Chitotriosidase	24
Glucose-1-phosphate adenylyltransferase small subunit, C-terminal domain	24
Glucose-1-phosphate adenylyltransferase small subunit, catalytic domain	24
Putative betaine aldehyde dehydrogenase YdcW	24
Pf GST	24
Phenol hydroxylase	24
Rab5a	24
7,8-dihydroneopterin triphosphate epimerase	24
Aspartokinase	24
Fatty oxidation complex beta subunit (3-ketoacyl-CoA thiolase), N-terminal domain	24
GMP synthetase, central domain	24
GMP synthetase C-terminal dimerisation domain	24
Baseplate structural protein gp8	24
Membrane penetration protein mu1	24
Extracellular dodecameric hemoglobin (erythrocruorin), subunit D1	24
Extracellular dodecameric hemoglobin (erythrocruorin), subunit III (globin C)	24
Uncharacterized protein BCE_G9241_1042	24
Acyl-CoA dehydrogenase	24
Malate oxidoreductase (malic enzyme)	24
Putative uridine phosphorylase	24
C-terminal domain of ProRS	24
Malonamidase E2	24
Pyruvate dehydrogenase E1-alpha, PdhA	24
Beta-ketoadipyl CoA thiolase, C-terminal domain	24
Beta-ketoadipyl CoA thiolase, N-terminal domain	24
Ferric-binding protein FbpA	24
lambda repressor C-terminal domain	24
Pyrimidine nucleoside hydrolase YeiK	24
Biphenyl dioxygenase large subunit BphA1, C-terminal domain	24
Biphenyl dioxygenase large subunit BphA1, N-terminal domain	24
Family 12 endo-1,4-beta-glucanase (cellulase) catalytic domain	24
Bleomycin resistance protein, BRP	24
Adenylylsulfate reductase B subunit	24
Biphenyl dioxygenase small subunit BphA2	24
Fatty oxidation complex alpha subunit, C-terminal domain	24
Fatty oxidation complex alpha subunit, N-terminal domain	24
Fatty oxidation complex alpha subunit, middle domain	24
Iron-dependent regulator	24
Saccharopine reductase	24
Methionine aminopeptidase	24
Synapsin	24
GMP synthetase	24
Levodione reductase	24
Carbapenem biosynthes protein CarB	24
GK2113 homologue	24
Protein phosphatase-2B (PP-2B, calcineurin A subunit)	24
Ultraspiracle protein, usp	24
Epidermal fatty acid binding protein	24
U4/U6 snRNA-associated-splicing factor PRP24	24
Fatty oxidation complex beta subunit (3-ketoacyl-CoA thiolase), C-terminal domain	24
Synapsin I	24
Uncharacterized protein PH0223	24
Fumarate reductase respiratory complex cytochrome b subunit, FrdC	24
Putative semialdehyde dehydrogenase	24
BIR-containing protein 8	24
LysR-type regulatory protein CbnR	24
MexR repressor	24
Eukaryotic ornithine decarboxylase	24
Eukaryotic ornithine decarboxylase (ODC)	24
Poliovirus complexed with three domain CD155	24
Talin-1	24
Bacterial acid phosphatase	24
Methylene-tetrahydromethanopterin dehydrogenase	24
Prolyl-tRNA synthetase (ProRS) domain	24
Prolyl-tRNA synthetase (ProRS)	24
Epsilon subunit of F1F0-ATP synthase N-terminal domain	24
Swine vesicular disease virus coat proteins	24
NADH-quinone oxidoreductase chain 3, Nqo3, C-terminal domain	24
Cyclomaltodextrin glycanotransferase, domain D	24
Nicotinate phosphoribosyltransferase, N-terminal domain	24
DNA endonuclease I-CreI	24
Oxetanocin-like protein PF0395	24
Topoisomerase VI-B subunit	24
Ribonuclease PH, domain 1	24
Ribonuclease PH, domain 2	24
Dienoyl-CoA isomerase (delta3-delta2-enoyl-CoA isomerase)	24
Hypothetical protein TM1464	24
Transketolase (TK), C-domain	24
Transketolase (TK), PP module	24
Nadh-quinone oxidoreductase chain 3, Nqo3, N-terminal domain	24
Transcriptional repressor CopG	24
Hypothetical protein TM0436	24
Hypothetical protein CT2138	24
NADH-quinone oxidoreductase chain 3, Nqo3	24
Dihydroorotase	24
Cyclodextrin glycosyltransferase, C-terminal domain	24
Rho guanine nucleotide exchange factor 12	24
Regulatory protein cII	24
(+)-bornyl diphosphate synthase	24
NADH-quinone oxidoreductase chain 3, Nqo3, domain 2	24
Vacuolar protein sorting 29, VPS29	24
Deoxyhypusine synthase, DHS	24
Nsp15	24
3-alpha,20-beta-hydroxysteroid dehydrogenase	24
Nsp15, C-terminal domain	24
DC-SIGN (dendritic cell-specific ICAM-3 grabbing nonintegrin)	24
V-type ATPase subunit E C-terminal domain	23
REST corepressor 1, CoREST	23
DNA repair protein MutS, domain II	23
Synaptogamin I	23
p65 subunit of NF-kappa B (NFKB), N-terminal domain	23
Arrestin	23
Ubiquitin carboxyl-terminal hydrolase 14	23
Epsilon subunit of mitochondrial F1F0-ATP synthase	23
Erythropoietin (EPO) receptor	23
Epstein barr virus nuclear antigen-1 (ebna1)	23
DNA repair protein MutS, the C-terminal domain	23
Protein H of glycine cleavage system	23
DNA repair protein MutS, domain III	23
Pre-mRNA splicing factor Prp38A	23
Tubulin:stathmin-like domain complex	23
Basic FGF (FGF2)	23
Major tree pollen allergen	23
FAT domain of focal adhesion kinase	23
Viral capsid protein	23
Tyrosine-protein kinase SYK	23
Smc head domain	23
C/ebp beta	23
ATP sulfurylase catalytic domain	22
ATP sulfurylase N-terminal domain	22
Transferrin receptor ectodomain, C-terminal domain	22
Dehydroquinate synthase, DHQS	22
Major tropism determinant (Mtd), N-terminal domain	22
Major tropism determinant (Mtd), C-terminal domain	22
Galectin-2	22
Serine/threonine-protein phosphatase 2A regulatory subunit B', PTPA	22
Queosine tRNA-guanine transglycosylase	22
ADP-ribosylation factor binding protein Gga1	22
Phosphoribosylpyrophosphate synthetase	22
Enterochelin transport protein FepE	22
Demethylase interaction domain of CoREST	22
Cathepsin H	22
Imidazole glycerol phosphate dehydratase	22
Large, alpha subunit of electron transfer flavoprotein ETFP, N-terminal domain	22
Flavocytochrome b2, C-terminal domain	22
UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase LpxC	22
D1 core SNRNP protein	22
Ep-cadherin	22
p50 subunit of NF-kappa B transcription factor	22
Plasmin(ogen), catalytic domain	22
CD46 (membrane cofactor protein, MCP)	22
Thiol-disulfide oxidoreductase ResA	22
Autoinducer-2 production protein LuxS	22
Respiratory nitrate reductase 1 beta chain	22
Kallikrein 6	22
Second domain of the Flt-1 receptor	22
FMN-binding protein	22
Karyopherin alpha	22
Probable DAHP synthetase AroG, phenylalanine-repressible	22
Histidine kinase FixL heme domain	22
Scorpion toxin	22
Acetoacetate decarboxylase	22
Fosfomycin resistance protein A (FosA)	22
Sporulation response regulatory protein Spo0B	22
Transferrin receptor ectodomain, protease-like domain	22
Transferrin receptor ectodomain, apical domain	22
Ribosomal protein S19	22
CD2, first domain	22
Clathrin D6 coat	22
Allophycocyanin beta subunit	22
Penicillin-binding protein 2x (pbp-2x), transpeptidase domain	22
Xylan binding domain, CBM13 (Endo-1,4-beta-xylanase C-terminal domain)	22
Dimeric tRNA splicing endonuclease, domains 2 and 4	22
Drosophila alcohol dehydrogenase	22
5-aminolaevulinate dehydratase, ALAD (porphobilinogen synthase)	22
Choline kinase	22
Dimeric tRNA splicing endonuclease, domains 1 and 3	22
Diol dehydratase-reactivating factor large subunit DdrA	22
Hypothetical thioesterase PA5185	22
Pentalenene synthase	22
Glucose-6-phosphate isomerase, GPI	22
Transcriptional regulator IclR, C-terminal domain	22
Diaphanous protein homolog 1, Diap1 (Dia1, DRF1)	22
receptor binding protein, rbp, C-terminal domain	21
DNase domain of colicin E9	21
DNA repair protein MutS, domain I	21
ImmE7 protein (Im7)	21
Interferon-gamma	21
Uroporphyrin-III C-methyltransferase (SUMT, UROM, CobA)	21
Exonuclease domain of T7 DNA polymerase	21
Subunit XI (6.4 kDa protein) of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)	21
p56-lck tyrosine kinase	21
Kallikrein A	21
Plasminogen	21
Lac repressor (LacR), N-terminal domain	21
Cytochrome c551	21
Plant cytotoxin B-chain (lectin)	21
Cystatin A (stefin A)	21
Pkb kinase (Akt-2)	21
Prokaryotic ribosomal protein L17	21
V-type ATPase peripheral stalk subunit E coiled coil	21
Phytohemagglutinin-L, PHA-L, also arcelin	21
Dihydrolipoamide dehydrogenase	21
Phycoerythrin beta subunit	21
Flagellar transcriptional activator FlhD	21
Thioredoxin-like protein Sco1 (YpmQ), soluble domain	21
ISP subunit from the cytochrome b6f complex, soluble domain	21
HIPIP (high potential iron protein)	21
Growth hormone receptor	21
Coxsackie virus and adenovirus receptor (Car), domain 1	21
Coronavirus nucleocapsid protein	21
Interleukin-8, IL-8	21
T7 phage DNA polymerase	21
ISP subunit from the cytochrome b6f complex, transmembrane anchor	21
TRANCE/RANKL cytokine	21
Ribosomal protein S4	21
Taurine/alpha-ketoglutarate dioxygenase TauD	20
Hypothetical protein MPN625	20
Etv6 transcription factor pointed domain (Tel SAM)	20
Aquaporin Z	20
HPr kinase/phoshatase HprK N-terminal domain	20
V-type proton ATPase subunit d	20
Amyloid beta A4 precursor protein-binding family B member 1, APBB1	20
GDP-mannose 6-dehydrogenase, middle domain	20
CMP acylneuraminate synthetase	20
T5 5'-exonuclease	20
Protease B	20
GDP-mannose 6-dehydrogenase, GDP-binding domain	20
Peptidase-like beta-alanine synthase	20
Formaldehyde-activating enzyme, FAE	20
Microbial and mitochondrial ADK, insert 'zinc finger' domain	20
Pantothenate kinase PanK	20
Growth factor receptor-bound protein 2 (GRB2), N- and C-terminal domains	20
Pilus chaperone PapD, N-domain	20
Glutathionylspermidine synthase, synthetase domain	20
Magnesium transport protein CorA, soluble domain	20
Laccase, C-terminal domain	20
PapD	20
(Pro)cathepsin B	20
Magnesium transporter MgtE	20
Calcineurin regulatory subunit (B-chain)	20
Major cold shock protein	20
V-type proton ATPase subunit c	20
delta prime subunit of DNA polymerase III, N-domain	20
Plant peroxidase	20
RIG-I C-terminal domain	20
PI-specific phospholipase C isozyme D1 (PLC-D1), C-terminal domain	20
GDP-mannose 6-dehydrogenase	20
GABA(A) receptor associated protein GABARAP	20
Methanol dehydrogenase, light chain	20
Putative phosphatase DR1281	20
Furin, C-terminal domain	20
Heat shock protein 70kDa, ATPase fragment	20
Volvatoxin A2	20
Class I MHC homolog, alpha-3 domain	20
Pregnane x receptor, PXR	20
Orphan nuclear receptor NR1I3 (CAR)	20
4-diphosphocytidyl-2C-methyl-D-erythritol (CDP-me) synthase (IspD, YgbP)	20
Glycoprotein hormones alpha chain (Gonadotropin A, Follitropin alpha)	20
Haloperoxidase (bromoperoxidase)	20
Cytochrome c2	20
Mammalian epoxide hydrolase, C-terminal domain	20
Diol dehydratase, gamma subunit	20
Proteasome regulatory subunit Rpn8	20
Sec24	20
Restriction endonuclease PvuII	20
Peptidase-like beta-alanine synthase, catalytic domain	20
Class I MHC homolog	20
Furin, N-terminal domain	20
Superantigen MAM	20
Fc gamma receptor ectodomain (CD32)	20
Pyruvate-ferredoxin oxidoreductase, PFOR, domain I	20
Glycine oxidase ThiO	20
Simian immunodeficiency virus	20
Bifunctional carbon monoxide dehydrogenase/acetyl-CoA synthase (CODH/ACS) alpha (ACS) subunit	20
Pyridoxal kinase	20
Uridine diphosphogalactose-4-epimerase (UDP-galactose 4-epimerase)	20
Xanthine oxidase, domain 4 (?)	20
Mengo encephalomyocarditis virus coat proteins	20
Type II secretory pathway component EpsJ	20
Pyruvate-ferredoxin oxidoreductase, PFOR, domains VI	20
Inositol monophosphatase	20
Pyruvate-ferredoxin oxidoreductase, PFOR, domain V	20
Bifunctional protein putA	20
Complement decay-accelerating factor (Daf, CD55)	20
Pyruvate-ferredoxin oxidoreductase, PFOR, domain III	20
Dihydrolipoamide succinyltransferase	20
Xanthine oxidase, domain 3 (?)	20
2-keto-3-deoxygluconate kinase	20
Pyruvate-ferredoxin oxidoreductase, PFOR, domain II	20
N-acetylglucosamine-6-phosphate deacetylase, NagA	20
Rab escort protein 1	20
Phospholipase C isozyme D1 (PLC-D1)	20
Carboxylesterase	20
Laccase, middle domain	20
MyoVa globular tail domain (GTD)	20
Subunit XII of photosystem I reaction centre, PsaM	20
Threonyl-tRNA synthetase (ThrRS)	20
Phosphoinositide-specific phospholipase C, isozyme D1 (PLC-D!)	20
Di-heme cytochrome c SoxA	20
Subunit IX of photosystem I reaction centre, PsaJ	20
3-carboxy-cis,cis-mucoante lactonizing enzyme	20
Myocyte enhancer factor Mef2b core	20
Trans-3-chloroacrylic acid dehalogenase alpha-subunit, CaaD1	20
dTDP-glucose 4,6-dehydratase (RmlB)	20
Leucine carboxy methyltransferase Ppm1	20
DsrH	20
Glutamate mutase, large subunit	20
Cellular retinoic-acid-binding protein (CRABP)	20
Galactose-specific C-type lectin	20
Spliceosomal U4/U6 small nuclear ribonucleoprotein Prp3	20
Klebsiella pneumoniae Bestropin homolog KpBest	20
Threonyl-tRNA synthetase (ThrRS), C-terminal domain	20
PurS subunit of FGAM synthetase	20
Telomere end binding protein alpha subunit	20
Diaminopimelate decarboxylase LysA	20
Histone domain of Son of sevenless protein	20
Odorant binding protein LUSH	20
ADP-L-glycero-D-mannoheptose 6-epimerase	20
Ganglioside M2 (gm2) activator	20
NADH-quinone oxidoreductase chain 4, Nqo4	20
Glucosamine-phosphate N-acetyltransferase GNA1	20
Angiogenin	20
Phosphoenolpyruvate mutase	20
NADH-quinone oxidoreductase chain 9, Nqo9	20
N-acetylglucosamine-6-phosphate deacetylase, NagA, catalytic domain	20
Chalcone isomerase	20
Homoserine dehydrogenase	20
Histidine utilization repressor HutC	20
Laccase, N-terminal domain	20
Initiation factor eIF2 gamma subunit	19
DNA replication complex GINS protein PSF2	19
Initiation factor eIF2 gamma subunit, N-terminal (G) domain	19
Adenosine deaminase (ADA)	19
Capz alpha-1 subunit	19
Initiation factor eIF2 gamma subunit, domain II	19
Outer capsid protein sigma 3	19
gp45 sliding clamp	19
Profilin (actin-binding protein)	19
Hypothetical protein TM0922, N-terminal domain	19
Anti-sigma factor spoIIab	19
Thrombopoietin	19
Clathrin heavy-chain linker domain	19
Clathrin heavy-chain terminal domain	19
Anthrax toxin lethal factor, middle domain	19
Anthrax toxin lethal factor, N- and C-terminal domains	19
Anaphase promoting complex (APC)	19
Insulin receptor	19
XRCC4, C-terminal oligomerization domain	19
ImmE9 protein (Im9)	19
XRCC4, N-terminal domain	19
Trafficking protein B	19
Falcipain 2	19
D3 core SNRNP protein	19
DNA gyrase beta-prime domain	19
Hypothetical protein TM0922, C-terminal domain	19
Coat protein p3, C-terminal domain	18
Coronavirus spike glycoprotein S1	18
Penicillin binding protein 2a (PBP2A), N-terminal domain	18
Golgi autoantigen, golgin-245	18
Alpha-toxin, C-terminal domain	18
TRF2	18
Avidin	18
Transketolase (TK), Pyr module	18
Circadian clock protein KaiA, C-terminal domain	18
Phycoerythrin alpha subunit	18
Neural cell adhesion molecule 1, NCAM	18
Hypothetical protein TT1634 (TTHA1091)	18
Vascular endothelial growth factor receptor 2 (kdr)	18
Pertussis toxin S5 subunit	18
D-aminoacid aminotransferase	18
Syk tyrosine kinase	18
Thiamin phosphate synthase	18
Bovine enterovirus coat proteins	18
Interleukin-18	18
Hypothetical protein HI0047	18
Coat protein p3, N-terminal domain	18
Cell division protein FtsH, C-terminal domain	18
Trans-3-chloroacrylic acid dehalogenase beta-subunit, CaaD2	18
Pyridoxine 5'-phoshate oxidase (PNP oxidase)	18
Bile acid receptor FXR	18
Smad4 tumor suppressor C-terminal domain	18
Manganese-dependent inorganic pyrophosphatase (family II)	18
Adenylosuccinate synthetase, PurA	18
Stem cell factor, SCF	18
cro lambda repressor	18
Elongation factor SelB, domains 2 and 4	18
8-oxoguanine glycosylase	18
Pseudopilin EpsI	18
Viral chemokine binding protein m3	18
Lectin (agglutinin)	18
Hypothetical protein YbgI	18
DNA methyltransferase DNMT3B	18
Adenylate cyclase CyaC	18
Elongation factor SelB, N-terminal domain	18
Orphan nuclear receptor NURR1	18
AAA domain of cell division protein FtsH	18
Elongation factor SelB, domain 3	18
Transcription factor TEAD1, YAP-binding domain	18
Theilovirus capsid proteins	18
Scaffolding protein gpD of bacteriophage procapsid	18
Hepatocyte growth factor receptor, c-MET	18
Penicillin binding protein 2a (PBP2A), C-terminal domain	18
Proton glutamate symport protein	18
DnaK	18
Osmotically inducible protein OsmC	18
Progesterone receptor	18
Intron-encoded homing endonuclease I-PpoI	18
Glutamate N-acetyltransferase 2 (ornithine acetyltransferase)	18
Glutamyl-tRNA(Gln) amidotransferase subunit D, GatD	18
gamma,delta resolvase (C-terminal domain)	18
Chromodomain protein CDY2A	18
Flap endonuclease-1 (Fen-1 nuclease)	18
Hypothetical protein Rv1347c/MT1389	18
Saposin C	18
1,3,8-trihydroxynaphtalene reductase (THNR, naphtol reductase)	18
Ureidoglycolate dehydrogenase AllD	18
Chlorophyll a-b binding protein	18
Uncharacterized protein Saro3538	18
RNA polymerase I subunit A43, N-terminal domain	18
RNase H (RNase HI)	18
Ribosomal protein L10	18
Immunoglobulin light chain-binding domain of protein L	18
Phage protein BC1890	18
30 kDa adipocyte complement-related protein	18
Epsilon subunit of F1F0-ATP synthase C-terminal domain	18
Trafficking protein A	18
Glucose dehydrogenase	18
Core structure of Ebo gp2	18
Na(+):neurotransmitter symporter homologue LeuT	18
DNA repair protein MutM (Fpg)	18
Sucrose-specific porin	18
Type II pantothenate kinase, CoaW	18
Alpha-toxin, N-terminal domain	18
Alpha1,3-fucosyltransferase FucT	18
Gated mechanosensitive channel	18
Activated CDC42 kinase 1, ACK1	18
Beta-ketoacyl-ACP synthase II, N-terminal domain	18
Polyphosphate kinase, PPK	18
Catalytic domain of AMSH	18
Ribosome biogenesis protein Nop10	18
Beta-ketoacyl-ACP synthase II, C-terminal domain	18
Sulfite oxidase, middle catalytic domain	18
Histone deacetylase 7, HDAC7	18
Glutaminase-asparaginase	18
Type II adenylyl cyclase C2 domain	18
Sulfite oxidase, C-terminal domain	18
beta-Amylase	18
Streptococcal pyrogenic exotoxin B	18
Penicillin binding protein 2a (PBP2A), middle domain	18
Metallochaperone MeaB	18
Nonstructural protein 8, NSP8	18
Hydroxyethylthiazole kinase (THZ kinase, ThiK)	18
Thiazole biosynthesis protein ThiG	18
Cystalysin	18
Sortase A	17
Urokinase-type plasminogen activator	17
Lysin	17
Ebolavirus surface glycoprotein	17
Toluene, o-xylene monooxygenase oxygenase subunit TouE	17
Toluene, o-xylene monooxygenase oxygenase subunit TouB	17
Pseudouridine synthase II TruB, C-terminal domain	17
PetN subunit of the cytochrome b6f complex	17
Pseudouridine synthase II TruB	17
Ferredoxin reductase (flavodoxin reductase) N-terminal domain	17
Ferredoxin reductase (flavodoxin reductase)	17
delta subunit of DNA polymerase III, N-domain	17
Ephrin-b2 ectodomain	17
Serine/threonine-protein phosphatase 2A regulatory subunit B56-gamma	17
Xylanase	17
Immunoglobulin heavy chain mu constant domain 1, CH1-mu	17
Plasminogen activator (urokinase-type)	17
C-terminal domain of the electron transfer flavoprotein alpha subunit	17
N-terminal domain of xrcc1	17
2MIHB/C-IAP-1	17
Ribosomal protein L7/12, C-terminal domain	17
TGF-beta3	17
RIGG-box protein 1 (RBX1) of SCF ubiquitin ligase complex	17
N-myristoyl transferase, NMT	17
Protozoan orotidine monophosphate decarboxylase	17
Capz beta-1 subunit	17
Rabaptin-5	17
TolB, N-terminal domain	17
Rna1p (RanGAP1), N-terminal domain	17
Crh, catabolite repression HPr-like protein	17
AF0112, Sir2 homolog (Sir2-AF2)	17
ATP-dependent helicase CHD1 (Chromo domain protein 1)	17
Dihydrolipoamide dehydrogenase, N- and C-terminal domain	17
Tumor susceptibility gene 101 (TSG101)	17
TolB, C-terminal domain	17
(Pro)cathepsin K	16
UDP-N-acetylglucosamine 2-epimerase	16
gamma-Crystallin	16
Toxin YoeB	16
Leucyl/phenylalanyl-tRNA-protein transferase, LFTR (Aat)	16
B1 domain of neuropilin-1	16
Hypothetical protein Rv1636	16
Follicle stimulating hormone, follitropin, beta chain	16
Hypothetical protein PA0115	16
Leukotriene b4 12-hydroxydehydrogenase/prostaglandin 15-keto reductase	16
GMP-PDE delta	16
L-aminopeptidase D-Ala-esterase/amidase DmpA	16
Putative septation protein SpoVG	16
Ktn bsu222	16
TF antigen-binding lectin	16
SIAH, seven in absentia homolog	16
Nitric oxide reductase C-terminal domain	16
Flavoprotein subunit of p-cresol methylhydroxylase	16
Glutaconyl-CoA decarboxylase A subunit, N-terminal domain	16
Glutamate carboxypeptidase II	16
Soluble methane monooxygenase regulatory protein B	16
Octameric de novo designed peptide	16
Putative oxidoreductase VCA1048	16
Fumarase	16
B core SNRNP protein	16
Putative multidrug export ATP-binding/permease protein SAV1866	16
Transcriptional repressor Rex, N-terminal domain	16
Lipoyl domain of dihydrolipoamide acetyltransferase	16
Cytochrome b5	16
Hypothetical protein PTO0218	16
Transcriptional repressor Rex, C-terminal domain	16
D-dopachrome tautomerase	16
Lipopolysaccharide biosynthesis protein WzzE	16
Glycoprotein B	16
Hypothetical protein PA0269	16
L-hydantoinase	16
Isobutyryl-CoA dehydrogenase	16
